"comment","percentRating","title","arrivalDate","book_reviews","price","author","totalRatings","book_review_star","shipping","id","profit","url","book_cover_image","total","sellerName","condition"
"PLEASE READ! Not the prettiest book but gets the job done! May have wrinkli","98% positive","Explorations in Basic Biology (12th Edition) (Paperback)","Arrives between June 22-28.","38","50.0"," Stanley E. Gunstream","2003","3.2","0","0321722949","6.0","https://www.amazon.com/dp/0321722949","https://images-na.ssl-images-amazon.com/images/I/61qRS2ELJ%2BL._SS160_PIsitb-sticker-arrow-sm,TopRight,10,-13_OU01_.jpg","50.0","Mortuus Books","Used - Acceptable"
"Small Seller, Huge Service! Best copy ships first. CDs, access codes, and o","98% positive","Biology: A Guide to the Natural World, Technology Update (5th Edition) (Paperback)","Arrives between June 22-29.","145","38.12"," David Krogh","4981","4.0","3.99","0321946766","7.890000000000001","https://www.amazon.com/dp/0321946766","https://images-na.ssl-images-amazon.com/images/I/51YWcrEcEsL._SS160_.jpg","42.11","RockMountainBooks","Used - Acceptable"
"This is a hard cover book. The cover has visible markings and wear. Book co","95% positive","Companion Animals: Their Biology, Care, Health, and Management (2nd Edition) (Hardcover)","Arrives between June 22-29.","6","66.7"," Karen L. Campbell","210971","3.5","0","0135047676","2.780000000000001","https://www.amazon.com/dp/0135047676","https://images-na.ssl-images-amazon.com/images/I/51n7kTT6cRL._SS160_.jpg","66.7","Clickgoodwill","Used - Acceptable"
"DAMAGED. Binding is loose. Bruise/crease to cover. Tracking is not availabl","98% positive","Principles of Development (Hardcover)","Arrives between June 22-29.","9","53.99"," Lewis Wolpert (Author), et al.","405319","3.5","3.98","0198709889","1.8200000000000003","https://www.amazon.com/dp/0198709889","https://images-na.ssl-images-amazon.com/images/I/41KbFkiOZ8L._SS160_PIsitb-sticker-arrow-sm,TopRight,10,-13_OU01_.jpg","57.97","bellwetherbooks","Used - Acceptable"
"Expedited orders RECEIVED in 1-5 business days within the United States. Or","93% positive","Statistics for the Life Sciences (5th Edition) (Hardcover)","Arrives between June 21-26.","46","91.82"," Jeffrey A. Witmer, Andrew A. Schaffner","418447","3.8","0","0321989589","0.6600000000000108","https://www.amazon.com/dp/0321989589","https://images-na.ssl-images-amazon.com/images/I/41WNCE02QnL._SS160_.jpg","91.82","-TextbookRush-","Used - Acceptable"
"bottom right corner is a little chewed up from dog, but it doesn't effect r","100% positive.","Brock Biology of Microorganisms (15th Edition) (Hardcover)","Arrives between June 22 - July 10.","5","125.0"," Michael T. Madigan","7","4.5","3.99","0134261925","4.9199999999999875","https://www.amazon.com/dp/0134261925","https://images-na.ssl-images-amazon.com/images/I/51bmwpb%2BX7L._SS160_.jpg","128.99","TeXtBook","Used - Acceptable"
"A few exercise pages are marked, all other the book is GOOD SHAPE, TIGHT BI","96% positive","Physical Chemistry: Principles and Applications in Biological Sciences (5th Edition) (Hardcover)","Arrives between June 21-26.","14","95.6"," Ignacio Tinoco Jr. (Author), et al.","6074","2.5","3.99","0136056067","3.0799999999999983","https://www.amazon.com/dp/0136056067","https://images-na.ssl-images-amazon.com/images/I/51fRCKYaRdL._SS160_.jpg","99.58999999999999","marapheng","Used - Good"
"Heavy wear. Ship within 24hrs. Satisfaction 100% guaranteed. APO/FPO addres","94% positive","Dynamic Physical Education for Elementary School Children (18th Edition) (Hardcover)","Arrives between June 22-29.","56","95.64"," Aaron Beighle","3195","4.4","3.99","0321934954","5.160000000000011","https://www.amazon.com/dp/0321934954","https://images-na.ssl-images-amazon.com/images/I/51ED1mP%2BOSL._SS160_.jpg","99.63","-Book$Run Textbooks-","Used - Acceptable"
"CONTAINS SLIGHT WATER DAMAGE / STAIN, STILL VERY READABLE, SAVE! Your satis","94% positive","Human Biology: Concepts and Current Issues (8th Edition) (Paperback)","Arrives between June 22-29.","146","84.0"," Michael D. Johnson","83934","4.1","3.99","0134042433","3.460000000000008","https://www.amazon.com/dp/0134042433","https://images-na.ssl-images-amazon.com/images/I/51ME87pK0%2BL._SS160_.jpg","87.99","nettextstore","Used - Acceptable"
"Ships same or next business day. Listing meets or exceeds posted condition.","93% positive","Biological Anthropology (Paperback)","Arrives between June 22-29.","23","62.76"," Michael Alan Park","8253","3.9","3.99","0078034957","1.4599999999999937","https://www.amazon.com/dp/0078034957","https://images-na.ssl-images-amazon.com/images/I/516X3EOETmL._SS160_.jpg","66.75","bubbasbook","Used - Acceptable"
"Book in Very Rough Condition. Some pages are torn and ripped.","94% positive","Fundamentals of Biochemistry: Life at the Molecular Level (Hardcover)","Arrives between June 22-29.","114","98.99"," Donald Voet (Author), et al.","2525","4.0","0","1118918401","6.260000000000005","https://www.amazon.com/dp/1118918401","https://images-na.ssl-images-amazon.com/images/I/51YQNJ6t-QL._SS160_.jpg","98.99","Da Book Mine","Used - Acceptable"
"Used text with shelf wear to the cover including edge wear and bumped corne","100% positive","A Primer of Ecology (Paperback)","Arrives between June 22 - July 10.","25","26.48"," Nicholas J. Gotelli","146","4.6","3.99","0878933182","1.4000000000000021","https://www.amazon.com/dp/0878933182","https://images-na.ssl-images-amazon.com/images/I/51MEu%2Bb9poL._SS160_PIsitb-sticker-arrow-sm,TopRight,10,-13_OU01_.jpg","30.47","txtbook23","Used - Good"
"Hardcover, In Very Good Condition - binding is solid, cover and pages are c","89% positive","Biostatistical Analysis (5th Edition) (Hardcover)","Arrives between June 22-29.","59","82.0"," Jerrold H. Zar","81","4.1","3.99","0131008463","5.010000000000005","https://www.amazon.com/dp/0131008463","https://images-na.ssl-images-amazon.com/images/I/41IBefYnmQL._SS160_.jpg","85.99","Bulrushed Books","Used - Very Good"
"New Paperback Low price edition by Jones & Bartlett India. Cover may be dif","81% positive","Physical Chemistry for the Chemical and Biological Sciences (Hardcover)","Arrives between July 9-19.","13","29.0"," Raymond Chang","1128","4.4","3.99","1891389068","12.850000000000001","https://www.amazon.com/dp/1891389068","https://images-na.ssl-images-amazon.com/images/I/41H7nVA4MwL._SS160_PIsitb-sticker-arrow-sm,TopRight,10,-13_OU01_.jpg","32.99","Books_Media","Used - Very Good"
